Company,Title,Location,Salary,Info,Post date,Company Verified,HR Agency,Reservation
Collaborator.pro,"Strong Middle, Senior Full Stack Developer PHP, React",Дистанційно,Не вказано,https://www.work.ua/jobs/7173250,2025-10-23 04:44:03,True,False,False
Health24,Розробник Javascript,Дистанційно,25 000 грн,https://www.work.ua/jobs/7245004,2025-10-23 04:08:03,True,False,False
6 центр рекрутингу Сил Безпілотних Систем,Програміст нейронних мереж,Вся Україна,50 000 грн,https://www.work.ua/jobs/7315450,Не вказано,True,False,False
Context Profi,API Developer,Дистанційно,30 000 грн,https://www.work.ua/jobs/7300768,2025-10-23 02:22:25,True,False,False
Камала Софт,Програміст BAS (1С:Підприємство),Дистанційно,50 000 – 90 000 грн,https://www.work.ua/jobs/3533409,2025-10-23 02:22:04,True,False,False
AdFinem,"Backend Developer (Node.js, PHP)",Дистанційно,Не вказано,https://www.work.ua/jobs/7300753,2025-10-23 01:13:53,False,False,False
Wanted,"Senior Backend Developer (PHP, Symfony)",Дистанційно,Не вказано,https://www.work.ua/jobs/7273270,2025-10-23 00:49:04,True,True,False
"dZENcode, IT-Company","Vue JS developer (Strong Junior, Middle)",Дистанційно,20 000 – 45 000 грн,https://www.work.ua/jobs/4241166,2025-10-22 22:24:25,True,False,False
"dZENcode, IT-Company","Python developer (Strong Junior, Middle)",Дистанційно,25 000 – 65 000 грн,https://www.work.ua/jobs/4438564,2025-10-22 22:23:57,True,False,False
"dZENcode, IT-Company","Node.js developer (Strong Junior, Middle)",Дистанційно,25 000 – 65 000 грн,https://www.work.ua/jobs/4205362,2025-10-22 21:23:14,True,False,False
"Масаві, видавничий дім","Strong Middle/Senior Backend Developer (Laravel, AI-інтеграції)",Дистанційно,70 000 – 100 000 грн,https://www.work.ua/jobs/7300414,2025-10-22 19:09:49,True,False,False
PixFuture Media,Backend Developer (Senior),Дистанційно,110 000 – 200 000 грн,https://www.work.ua/jobs/7295926,2025-10-21 20:08:22,True,False,False
Dizair Software,Middle Python (Django) Backend Developer,Дистанційно,57 000 – 82 000 грн,https://www.work.ua/jobs/7295608,2025-10-21 18:05:04,False,False,False
Zagroza digital agency,Middle Node.js Developer,Дистанційно,50 000 – 80 000 грн,https://www.work.ua/jobs/5153572,2025-10-21 17:11:06,True,False,False
Syteca,Web developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7293187,2025-10-21 14:14:50,False,False,False
Skynix,"Backend, PHP Developer (YII)",Дистанційно,Не вказано,https://www.work.ua/jobs/5298265,2025-10-21 12:05:03,True,False,False
"Шлюз О. Р., ФОП",Junior React Native розробник,Дистанційно,60 000 грн,https://www.work.ua/jobs/7290982,2025-10-21 11:11:18,False,False,False
6 центр рекрутингу Сил Безпілотних Систем,Embedded-програміст,Вся Україна,50 000 грн,https://www.work.ua/jobs/7315441,Не вказано,True,False,False
